,Movie Title,Movie Release Year,Movie Genres,Movie IMDB Rating,Movie Runtime,Movie Age Rating,Movie Production Countries,Movie Stream Services
0,Oppenheimer,2024,"Drama, History",8.3,03:01:00,UA,"United Kingdom, United States",Jio Cinema
1,Dune,2021,"Science-Fiction, Action & Adventure, Drama",8.0,02:35:00,UA,United States,Netflix
2,Hanu-Man,2024,"Action & Adventure, Comedy, Science-Fiction, Fantasy",8.4,02:39:00,UA,India,
3,Poor Things,2023,"Science-Fiction, Romance, Comedy, Drama",8.1,02:22:00,A,"United Kingdom, United States, Ireland",
4,12th Fail,2023,Drama,9.0,02:27:00,,India,Hotstar
5,The Kerala Story,2023,Drama,7.0,02:18:00,A,India,Zee5
6,Sam Bahadur,2023,"Drama, War & Military",7.8,02:30:00,UA,India,Zee5
7,Article 370,2024,"Action & Adventure, Drama, Mystery & Thriller",8.5,02:38:00,UA,India,
8,Merry Christmas,2024,"Drama, Mystery & Thriller",7.2,02:23:00,,India,Netflix
9,Teri Baaton Mein Aisa Uljha Jiya,2024,"Science-Fiction, Comedy, Drama, Romance",7.0,02:21:00,,India,
10,Bramayugam,2024,"Horror, Mystery & Thriller",8.3,02:19:00,UA,India,Sony Liv
11,Anweshippin Kandethum,2024,"Crime, Drama, Mystery & Thriller",7.6,02:22:00,,India,Netflix
12,Anatomy of a Fall,2023,"Mystery & Thriller, Crime, Drama",7.8,02:32:00,,France,
13,Manjummel Boys,2024,"Mystery & Thriller, Drama",8.7,02:15:00,UA,India,
14,Dune: Part Two,2024,"Action & Adventure, Science-Fiction, Drama",8.9,02:47:00,,United States,
15,Jawan,2023,"Action & Adventure, Mystery & Thriller, Drama",7.0,02:49:00,UA,India,Netflix
16,American Fiction,2023,"Comedy, Drama",7.6,01:57:00,,United States,Amazon Prime Video
17,Laapataa Ladies,2024,"Comedy, Drama",8.4,02:02:00,,India,
18,Sound of Freedom,2023,"Action & Adventure, Drama, Crime, History, Mystery & Thriller",7.7,02:11:00,,United States,Amazon Prime Video
19,The Zone of Interest,2023,"Drama, War & Military, History",7.5,01:45:00,UA,"United States, Poland, United Kingdom",
20,Premalu,2024,"Comedy, Romance",8.3,02:36:00,U,India,
21,Harry Potter and the Philosopher's Stone,2001,"Action & Adventure, Fantasy, Kids & Family",7.6,02:32:00,U,"United Kingdom, United States",Jio Cinema
22,The Holdovers,2023,"Comedy, Drama",8.0,02:13:00,,United States,
23,Killers of the Flower Moon,2023,"Crime, History, Drama, Romance, Western",7.6,03:26:00,A,United States,Apple TV Plus
24,Junior,2023,Action & Adventure,7.7,02:02:00,,India,Amazon Prime Video
25,Aattam,2024,Drama,8.4,02:19:00,UA,India,Amazon Prime Video
26,Past Lives,2023,"Romance, Drama",7.9,01:46:00,UA,"South Korea, United States","Lionsgate Play, Lionsgate Play Apple TV Channel, Lionsgate Play Amazon Channel"
27,BlackBerry,2023,"Comedy, Drama, History",7.4,02:00:00,,Canada,Amazon Prime Video
28,Godzilla Minus One,2023,"Action & Adventure, Science-Fiction, Drama, Horror",8.3,02:05:00,,Japan,
