,Movie Title,Movie Release Year,Movie Genres,Movie IMDB Rating,Movie Runtime,Movie Age Rating,Movie Production Countries,Movie Stream Services
0,Oppenheimer,2024,"Drama, History",8.3,03:01:00,UA,"United Kingdom, United States",Jio Cinema
1,Dune,2021,"Science-Fiction, Action & Adventure, Drama",8.0,02:35:00,UA,United States,Netflix
2,Hanu-Man,2024,"Action & Adventure, Comedy, Science-Fiction, Fantasy",8.4,02:39:00,UA,India,
3,Animal,2023,"Action & Adventure, Crime, Drama, Mystery & Thriller",6.3,03:21:00,A,India,Netflix
4,Salaar,2023,"Action & Adventure, Crime, Drama, Mystery & Thriller",6.5,02:55:00,A,India,Netflix
5,Poor Things,2023,"Science-Fiction, Romance, Comedy, Drama",8.1,02:22:00,A,"United Kingdom, United States, Ireland",
6,12th Fail,2023,Drama,9.0,02:27:00,,India,Hotstar
7,The Kerala Story,2023,Drama,7.0,02:18:00,A,India,Zee5
8,Dunki,2023,"Comedy, Drama",6.7,02:40:00,,India,Netflix
9,Anyone But You,2023,"Comedy, Romance",6.2,01:43:00,,"Australia, United States",
10,Sam Bahadur,2023,"Drama, War & Military",7.8,02:30:00,UA,India,Zee5
11,Eagle,2024,"Action & Adventure, Mystery & Thriller",6.7,02:39:00,UA,India,Amazon Prime Video
12,Article 370,2024,"Action & Adventure, Drama, Mystery & Thriller",8.5,02:38:00,UA,India,
13,Merry Christmas,2024,"Drama, Mystery & Thriller",7.2,02:23:00,,India,Netflix
14,Teri Baaton Mein Aisa Uljha Jiya,2024,"Science-Fiction, Comedy, Drama, Romance",7.0,02:21:00,,India,
15,Captain Miller,2024,"Action & Adventure, Drama, Mystery & Thriller, War & Military",6.6,02:37:00,UA,India,"Amazon Prime Video, Sun Nxt"
16,Bramayugam,2024,"Horror, Mystery & Thriller",8.3,02:19:00,UA,India,Sony Liv
17,Guntur Kaaram,2024,"Action & Adventure, Drama",5.4,02:39:00,UA,India,Netflix
18,Fighter,2024,"Action & Adventure, Mystery & Thriller, War & Military",6.9,02:47:00,UA,India,
19,Ayalaan,2024,"Action & Adventure, Science-Fiction",6.0,02:35:00,,India,Sun Nxt
20,Anweshippin Kandethum,2024,"Crime, Drama, Mystery & Thriller",7.6,02:22:00,,India,Netflix
21,Anatomy of a Fall,2023,"Mystery & Thriller, Crime, Drama",7.8,02:32:00,,France,
22,Manjummel Boys,2024,"Mystery & Thriller, Drama",8.7,02:15:00,UA,India,
23,Aquaman and the Lost Kingdom,2023,"Action & Adventure, Fantasy, Science-Fiction",5.6,02:04:00,,United States,
24,Dune: Part Two,2024,"Action & Adventure, Science-Fiction, Drama",8.9,02:47:00,,United States,
25,Code 8,2019,"Action & Adventure, Crime, Science-Fiction, Drama, Mystery & Thriller",6.1,01:39:00,A,"Canada, United Kingdom, United States",Amazon Prime Video
26,Jawan,2023,"Action & Adventure, Mystery & Thriller, Drama",7.0,02:49:00,UA,India,Netflix
27,American Fiction,2023,"Comedy, Drama",7.6,01:57:00,,United States,Amazon Prime Video
28,Laapataa Ladies,2024,"Comedy, Drama",8.4,02:02:00,,India,
29,Damsel,2024,"Action & Adventure, Fantasy",6.2,01:50:00,,United States,Netflix
30,365 Days,2020,"Romance, Drama, Made in Europe",3.3,01:54:00,,Poland,Netflix
31,Singapore Saloon,2024,"Kids & Family, Comedy, Drama",6.2,02:17:00,UA,India,Amazon Prime Video
32,Crakk: Jeetega... Toh Jiyegaa,2024,"Action & Adventure, Mystery & Thriller, Sport",6.4,02:34:00,,India,
33,Sound of Freedom,2023,"Action & Adventure, Drama, Crime, History, Mystery & Thriller",7.7,02:11:00,,United States,Amazon Prime Video
34,The Zone of Interest,2023,"Drama, War & Military, History",7.5,01:45:00,UA,"United States, Poland, United Kingdom",
35,Premalu,2024,"Comedy, Romance",8.3,02:36:00,U,India,
36,Harry Potter and the Philosopher's Stone,2001,"Action & Adventure, Fantasy, Kids & Family",7.6,02:32:00,U,"United Kingdom, United States",Jio Cinema
37,Barbie,2023,"Comedy, Fantasy",6.9,01:54:00,UA,"United States, United Kingdom",Jio Cinema
38,The Holdovers,2023,"Comedy, Drama",8.0,02:13:00,,United States,
39,The Beekeeper,2024,"Action & Adventure, Mystery & Thriller, Drama",6.4,01:45:00,,"United Kingdom, United States",
40,Killers of the Flower Moon,2023,"Crime, History, Drama, Romance, Western",7.6,03:26:00,A,United States,Apple TV Plus
41,Malaikottai Vaaliban,2024,"Fantasy, Action & Adventure, Drama, Mystery & Thriller, Western",6.4,02:34:00,UA,India,
42,Vadakkupatti Ramasamy,2024,"Comedy, Drama, Fantasy, Science-Fiction",6.4,02:24:00,U,India,"Amazon Prime Video, aha"
43,Junior,2023,Action & Adventure,7.7,02:02:00,,India,Amazon Prime Video
44,Code 8 Part II,2024,"Action & Adventure, Crime, Science-Fiction, Mystery & Thriller, Drama",5.7,01:41:00,,"Canada, United States",Netflix
45,Aattam,2024,Drama,8.4,02:19:00,UA,India,Amazon Prime Video
46,Upgraded,2024,"Romance, Comedy",6.1,01:45:00,,"United Kingdom, United States",Amazon Prime Video
47,Past Lives,2023,"Romance, Drama",7.9,01:46:00,UA,"South Korea, United States","Lionsgate Play, Lionsgate Play Apple TV Channel, Lionsgate Play Amazon Channel"
48,BlackBerry,2023,"Comedy, Drama, History",7.4,02:00:00,,Canada,Amazon Prime Video
49,Godzilla Minus One,2023,"Action & Adventure, Science-Fiction, Drama, Horror",8.3,02:05:00,,Japan,
